1550 s_player
23D0 s_schabbdie5
23E0 s_schabbdie6
23F0 s_schabbshoot1
2400 s_schabbshoot2
2410 s_needle1
2420 s_needle2
2430 s_needle3
2440 s_needle4
2450 s_giftstand
2460 s_giftchase1
2470 s_giftchase1s
2480 s_giftchase2
2490 s_giftchase3
24A0 s_giftchase3s
24B0 s_giftchase4
24C0 s_giftdeathcam
24D0 s_giftdie1
24E0 s_giftdie2
24F0 s_giftdie3
2500 s_giftdie4
2510 s_giftdie5
2520 s_giftdie6
2530 s_giftshoot1
2540 s_giftshoot2
2550 s_fatstand
2560 s_fatchase1
2570 s_fatchase1s
2580 s_fatchase2
2590 s_fatchase3
25A0 s_fatchase3s
25B0 s_fatchase4
25C0 s_fatdeathcam
25D0 s_fatdie1
25E0 s_fatdie2
25F0 s_fatdie3
2600 s_fatdie4
2610 s_fatdie5
2620 s_fatdie6
2630 s_fatshoot1
2640 s_fatshoot2
2650 s_fatshoot3
2660 s_fatshoot4
2670 s_fatshoot5
2680 s_fatshoot6
2690 s_fakestand
26A0 s_fakechase1
26B0 s_fakechase1s
26C0 s_fakechase2
26D0 s_fakechase3
26E0 s_fakechase3s
26F0 s_fakechase4
2700 s_fakedie1
2710 s_fakedie2
2720 s_fakedie3
2730 s_fakedie4
2740 s_fakedie5
2750 s_fakedie6
2760 s_fakeshoot1
2770 s_fakeshoot2
2780 s_fakeshoot3
2790 s_fakeshoot4
27A0 s_fakeshoot5
27B0 s_fakeshoot6
27C0 s_fakeshoot7
27D0 s_fakeshoot8
27E0 s_fakeshoot9
27F0 s_fire1
2800 s_fire2
2810 s_mechastand
2820 s_mechachase1
2830 s_mechachase1s
2840 s_mechachase2
2850 s_mechachase3
2860 s_mechachase3s
2870 s_mechachase4
2880 s_mechadie1
2890 s_mechadie2
28A0 s_mechadie3
28B0 s_mechadie4
28C0 s_mechashoot1
28D0 s_mechashoot2
28E0 s_mechashoot3
28F0 s_mechashoot4
2900 s_mechashoot5
2910 s_mechashoot6
2920 s_hitlerchase1
2930 s_hitlerchase1s
2940 s_hitlerchase2
2950 s_hitlerchase3
2960 s_hitlerchase3s
2970 s_hitlerchase4
2980 s_hitlerdeathcam
2990 s_hitlerdie1
29A0 s_hitlerdie2
29B0 s_hitlerdie3
29C0 s_hitlerdie4
29D0 s_hitlerdie5
29E0 s_hitlerdie6
29F0 s_hitlerdie7
2A00 s_hitlerdie8
2A10 s_hitlerdie9
2A20 s_hitlerdie10
2A30 s_hitlershoot1
2A40 s_hitlershoot2
2A50 s_hitlershoot3
2A60 s_hitlershoot4
2A70 s_hitlershoot5
2A80 s_hitlershoot6
2A98 s_bjrun1
2AA8 s_bjrun1s
2AB8 s_bjrun2
2AC8 s_bjrun3
2AD8 s_bjrun3s
2AE8 s_bjrun4
2AF8 s_bjjump1
2B08 s_bjjump2
2B18 s_bjjump3
2B28 s_bjjump4
2B38 s_deathcam
